year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit
1864,,,,,,23,22,million gold pesos,,,,,,
1865,,,,,,30,26,million gold pesos,,,,,,
1866,,,,,,37,27,million gold pesos,,,,,,
1867,,,,,,39,33,million gold pesos,,,,,,
1868,,,,,,42,30,million gold pesos,,,,,,
1869,,,,,,41,32,million gold pesos,,,,,,
1870,,,,,,49,30,million gold pesos,,,,,,
1871,,,,,,46,27,million gold pesos,,,,,,
1872,,,,,,62,47,million gold pesos,,,,,,
1873,,,,,,73,47,million gold pesos,,,,,,
1874,,,,,,58,45,million gold pesos,,,,,,
1875,,,,,,58,52,million gold pesos,,,,,,
1876,,,,,,36,48,million gold pesos,,,,,,
1877,,,,,,40,45,million gold pesos,,,,,,
1878,,,,,,44,37,million gold pesos,,,,,,
1879,,,,,,46,49,million gold pesos,,,,,,
1880,,,,,,46,58,million gold pesos,,,,,,
1881,,,,,,56,58,million gold pesos,,,,,,
1882,,,,,,61,60,million gold pesos,,,,,,
1883,,,,,,80,60,million gold pesos,,,,,,
1884,,,,,,94,68,million gold pesos,,,,,,
1885,,,,,,92,84,million gold pesos,,,,,,
1886,,,,,,95,70,million gold pesos,,,,,,
1887,,,,,,117,84,million gold pesos,,,,,,
1888,,,,,,128,100,million gold pesos,,,,,,
1889,,,,,,165,123,million gold pesos,,,,,,
1890,,,,,,142,101,million gold pesos,,,,,,
1891,,,,,,67,103,million gold pesos,,,,,,
1892,,,,,,91,113,million gold pesos,,,,,,
1893,,,,,,96,94,million gold pesos,,,,,,
1894,,,,,,93,102,million gold pesos,,,,,,
1895,,,,,,95,120,million gold pesos,132,94,million paper pesos,,,
1896,,,,,,112,117,million gold pesos,124,86,million paper pesos,,,
1897,,,,,,98,101,million gold pesos,151,82,million paper pesos,,,
1898,,,,,,107,134,million gold pesos,136,75,million paper pesos,,,
1899,,,,,,117,185,million gold pesos,166,89,million paper pesos,,,
1900,,,,,,113,155,million gold pesos,151,73,million paper pesos,,,
1901,,,,,,114,168,million gold pesos,151,72,million paper pesos,,,
1902,,,,,,103,179,million gold pesos,156,67,million paper pesos,,,
1903,,,,,,131,221,million gold pesos,172,91,million paper pesos,,,
1904,,,,,,187,264,million gold pesos,199,97,million paper pesos,,,
1905,,,,,,205,323,million gold pesos,212,105,million paper pesos,,,
1906,,,,,,270,292,million gold pesos,232,121,million paper pesos,,,
1907,,,,,,286,296,million gold pesos,246,129,million paper pesos,,,
1908,,,,,,273,366,million gold pesos,263,137,million paper pesos,,,
1909,,,,,,303,397,million gold pesos,285,150,million paper pesos,,,
1910,,,,,,862,884,million paper pesos,308,173,million paper pesos,,,
1911,,,,,,920,778,million paper pesos,316,177,million paper pesos,,,
1912,,,,,,1016,1140,million paper pesos,363,188,million paper pesos,,,
1913,,,,,,1128,1180,million paper pesos,370,199,million paper pesos,,,
1914,,,,,,733,916,million paper pesos,273,118,million paper pesos,,,
1915,,,,,,694,1323,million paper pesos,252,95,million paper pesos,,,
1916,,,,,,832,1302,million paper pesos,255,105,million paper pesos,,,
1917,,,,,,864,1250,million paper pesos,254,97,million paper pesos,,,
1918,,,,,,1138,1822,million paper pesos,322,139,million paper pesos,,,
1919,,,,,,1490,2343,million paper pesos,401,180,million paper pesos,,,
