year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit,customs_typos,imports_typos
1830,,,,,,,,,,1,million francs,,,,,
1831,,,,,,,,,,4,million francs,,,,,
1832,,,,,,,,,,7,million francs,,,,,
1833,,,,,,,,,,8,million francs,,,,,
1834,,,,,,,,,,9,million francs,,,,,
1835,,,,,,,,,,8,million francs,,,,,
1836,,,,,,,,,,8,million francs,,,,,
1837,,,,,,,,,,9,million francs,,,,,
1838,,,,,,,,,,11,million francs,,,,,
1839,,,,,,,,,,9,million francs,,,,,
1840,,,,,,,,,,10,million francs,,,,,
1841,,,,,,,,,,10,million francs,,,,,
1842,,,,,,,,,,11,million francs,,,,,
1843,,,,,,,,,,11,million francs,,,,,
1844,,,,,,,,,,12,million francs,,,,,
1845,,,,,,,,,,12,million francs,,,,,
1846,,,,,,217,149,million francs,,11,million francs,,,,,
1847,,,,,,241,171,million francs,,11,million francs,,,,,
1848,,,,,,182,151,million francs,,10,million francs,,,,,
1849,,,,,,207,179,million francs,,12,million francs,,,,,
1850,,,,,,237,264,million francs,,12,million francs,,,,,
1851,,,,,,218,200,million francs,,12,million francs,,,,,
1852,,,,,,267,230,million francs,,14,million francs,,,,,
1853,,,,,,298,294,million francs,,13,million francs,,,,,
1854,,,,,,343,389,million francs,,12,million francs,,,,,
1855,,,,,,385,344,million francs,,12,million francs,,,,,
1856,,,,,,435,370,million francs,,12,million francs,,,,,
1857,,,,,,435,414,million francs,,13,million francs,,,,,
1858,,,,,,440,381,million francs,,16,million francs,,,,,
1859,,,,,,451,413,million francs,,16,million francs,,,,,
1860,,,,,,517,470,million francs,,16,million francs,,,,,
1861,,,,,,556,453,million francs,,15,million francs,,,,,
1862,,,,,,587,502,million francs,,15,million francs,,,,,
1863,,,,,,610,534,million francs,,14,million francs,,,,,
1864,,,,,,684,596,million francs,,13,million francs,,,,,
1865,,,,,,756,602,million francs,,14,million francs,,,,,
1866,,,,,,747,643,million francs,,13,million francs,,,,,
1867,,,,,,775,597,million francs,,14,million francs,,,,,
1868,,,,,,864,657,million francs,,15,million francs,,,,,
