year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit
1821,,,,,,21,20,million paper milreis,,,,,,
1822,,,,,,22,20,million paper milreis,,,,,,
1823,,,,,,19,21,million paper milreis,,,,,,
1824,,,,,,24,19,million paper milreis,,,,,,
1825,,,,,,23,21,million paper milreis,,,,,,
1826,,,,,,19,17,million paper milreis,,,,,,
1827,,,,,,27,25,million paper milreis,,,,,,
1828,,,,,,32,32,million paper milreis,,,,,,
1829,,,,,,36,33,million paper milreis,,,,,,
1830,,,,,,42,35,million paper milreis,,,,,,
1831,,,,,,33,32,million paper milreis,,,,,,
1832,,,,,,32,32,million paper milreis,,,,,,
1833,,,,,,36,33,million paper milreis,,,,,,
1834,,,,,,37,33,million paper milreis,,,,,,
1835,,,,,,41,41,million paper milreis,,,,,,
1836,,,,,,45,34,million paper milreis,,,,,,
1837,,,,,,41,34,million paper milreis,,,,,,
1838,,,,,,49,42,million paper milreis,,,,,,
1839,,,,,,52,43,million paper milreis,,,,,,
1840,,,,,,58,42,million paper milreis,,,,,,
1841,,,,,,56,39,million paper milreis,,,,,,
1842,,,,,,51,41,million paper milreis,,,,,,
1843,,,,,,55,44,million paper milreis,,,,,,
1844,,,,,,55,47,million paper milreis,,,,,,
1845,,,,,,52,54,million paper milreis,,,,,,
1846,,,,,,56,52,million paper milreis,,,,,,
1847,,,,,,47,58,million paper milreis,,,,,,
1848,,,,,,52,56,million paper milreis,,,,,,
1849,,,,,,59,55,million paper milreis,,,,,,
1850,,,,,,77,68,million paper milreis,,,,,,
1851,,,,,,93,67,million paper milreis,,,,,,
1852,,,,,,87,74,million paper milreis,,,,,,
1853,,,,,,86,77,million paper milreis,,,,,,
1854,,,,,,85,91,million paper milreis,,,,,,
1855,,,,,,93,94,million paper milreis,,,,,,
1856,,,,,,125,115,million paper milreis,,,,,,
1857,,,,,,130,96,million paper milreis,,,,,,
1858,,,,,,127,107,million paper milreis,,,,,,
1859,,,,,,113,113,million paper milreis,,,,,,
1860,,,,,,124,123,million paper milreis,,,,,,
1861,,,,,,111,121,million paper milreis,,,,,,
1862,,,,,,99,122,million paper milreis,,,,,,
1863,,,,,,126,131,million paper milreis,,,,,,
1864,,,,,,132,141,million paper milreis,,,,,,
1865,,,,,,138,157,million paper milreis,,,,,,
1866,,,,,,143,156,million paper milreis,,,,,,
1867,,,,,,141,185,million paper milreis,,,,,,
1868,,,,,,167,203,million paper milreis,,,,,,
1869,,,,,,168,197,million paper milreis,,,,,,
1870,,,,,,162,168,million paper milreis,,,,,,
1871,,,,,,150,191,million paper milreis,,,,,,
1872,,,,,,159,215,million paper milreis,,,,,,
1873,,,,,,153,190,million paper milreis,,,,,,
1874,,,,,,168,208,million paper milreis,,,,,,
1875,,,,,,172,184,million paper milreis,,,,,,
1876,,,,,,157,196,million paper milreis,,,,,,
1877,,,,,,164,186,million paper milreis,,,,,,
1878,,,,,,164,204,million paper milreis,,,,,,
1879,,,,,,174,222,million paper milreis,,,,,,
1880,,,,,,180,231,million paper milreis,,,,,,
1881,,,,,,182,210,million paper milreis,,,,,,
1882,,,,,,190,197,million paper milreis,,,,,,
1883,,,,,,203,217,million paper milreis,,,,,,
1884,,,,,,178,226,million paper milreis,,,,,,
1885,,,,,,198,195,million paper milreis,,,,,,
1886,,,,,,207,264,million paper milreis,,,,,,
1887,,,,,,104,125,million paper milreis,,,,,,
1888,,,,,,216,237,million paper milreis,,,,,,
1889,,,,,,218,256,million paper milreis,,,,,,
1890,,,,,,295,326,million paper milreis,,,,,,
1891,,,,,,512,574,million paper milreis,,,,,,
1892,,,,,,590,784,million paper milreis,,,,,,
1893,,,,,,652,706,million paper milreis,,,,,,
1894,,,,,,782,767,million paper milreis,,,,,,
1895,,,,,,844,883,million paper milreis or cruzeiros,308,,million milreis or cruzeiros,,,
1896,,,,,,864,864,million paper milreis or cruzeiros,346,,million milreis or cruzeiros,,,
1897,,,,,,846,1011,million paper milreis or cruzeiros,303,,million milreis or cruzeiros,,,
1898,,,,,,933,1011,million paper milreis or cruzeiros,324,,million milreis or cruzeiros,,,
1899,,,,,,865,955,million paper milreis or cruzeiros,321,,million milreis or cruzeiros,,,
1900,,,,,,645,850,million paper milreis or cruzeiros,308,165,million milreis or cruzeiros,,,
1901,,,,,,448,861,million paper milreis or cruzeiros,305,162,million milreis or cruzeiros,,,
1902,,,,,,471,736,million paper milreis or cruzeiros,344,186,million milreis or cruzeiros,,,
1903,,,,,,486,743,million paper milreis or cruzeiros,415,189,million milreis or cruzeiros,,,
1904,,,,,,513,770,million paper milreis or cruzeiros,443,198,million milreis or cruzeiros,,,
1905,,,,,,455,685,million paper milreis or cruzeiros,401,224,million milreis or cruzeiros,,,
1906,,,,,,499,800,million paper milreis or cruzeiros,432,248,million milreis or cruzeiros,,,
1907,,,,,,645,861,million paper milreis or cruzeiros,536,287,million milreis or cruzeiros,,,
