year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit
1798,,118,1820=100,,,,,,,,,,,
1799,,117,1820=100,,,253,300,million francs,,,,,,
1800,,118,1901-10=100,,,323,272,million francs,,,,,,
1801,,105,1901-10=100,,,415,305,million francs,,,,,,
1802,,104,1901-10=100,,,465,325,million francs,,,,,,
1803,,111,1901-10=100,,,430,347,million francs,,,,,,
1804,,104,1901-10=100,,,441,380,million francs,,,,,,
1805,,114,1901-10=100,,,492,375,million francs,,,,,,
1806,,125,1901-10=100,,,477,456,million francs,,,,,,
1807,,122,1901-10=100,,,393,376,million francs,,,,,,
1808,,161,1901-10=100,,,320,331,million francs,,,,,,
1809,,161,1901-10=100,,,288,332,million francs,,,,,,
1810,,166,1901-10=100,,,339,366,million francs,,,,,,
1811,,164,1901-10=100,,,299,328,million francs,,,,,,
1812,,171,1901-10=100,,,308,419,million francs,,,,,,
1813,,160,1901-10=100,,,251,354,million francs,,,,,,
1814,,122,1901-10=100,,,239,346,million francs,,,,,,
1815,,116,1901-10=100,,,199,422,million francs,729,,million francs,7378,GDP,million francs at factor cost
1816,,120,1901-10=100,,,243,548,million francs,879,,million francs,8895,GDP,million francs at factor cost
1817,,129,1901-10=100,,,332,464,million francs,900,,million francs,10594,GDP,million francs at factor cost
1818,,123,1901-10=100,,,336,502,million francs,938,,million francs,9554,GDP,million francs at factor cost
1819,,105,1901-10=100,,,295,460,million francs,895,,million francs,8866,GDP,million francs at factor cost
1820,,153,1901-10=100,,,335,543,million francs,933,,million francs,8966,GDP,million francs at factor cost
1821,,143,1901-10=100,,,394,405,million francs,928,,million francs,9268,GDP,million francs at factor cost
1822,,138,1901-10=100,,,426,385,million francs,933,,million francs,9045,GDP,million francs at factor cost
1823,,143,1901-10=100,,,362,391,million francs,919,,million francs,10082,GDP,million francs at factor cost
1824,,133,1901-10=100,,,455,441,million francs,960,,million francs,9817,GDP,million francs at factor cost
1825,,146,1901-10=100,,,401,544,million francs,979,,million francs,10218,GDP,million francs at factor cost
1826,,136,1901-10=100,,,436,461,million francs,983,,million francs,10284,GDP,million francs at factor cost
1827,,134,1901-10=100,,,414,507,million francs,948,,million francs,10449,GDP,million francs at factor cost
1828,,129,1901-10=100,,,454,511,million francs,978,,million francs,10498,GDP,million francs at factor cost
1829,,130,1901-10=100,,,483,504,million francs,992,,million francs,11323,GDP,million francs at factor cost
1830,,130,1901-10=100,,,489,453,million francs,971,,million francs,11422,GDP,million francs at factor cost
1831,,124,1901-10=100,,,374,456,million francs,949,,million francs,11082,GDP,million francs at factor cost
1832,,125,1901-10=100,,,505,507,million francs,985,,million francs,11581,GDP,million francs at factor cost
1833,,126,1901-10=100,,,491,560,million francs,990,,million francs,11440,GDP,million francs at factor cost
1834,,128,1901-10=100,,,504,511,million francs,1008,,million francs,11582,GDP,million francs at factor cost
1835,,132,1901-10=100,,,520,577,million francs,1021,,million francs,12197,GDP,million francs at factor cost
1836,,135,1901-10=100,,,565,629,million francs,1053,,million francs,12452,GDP,million francs at factor cost
1837,,126,1901-10=100,,,569,514,million francs,1076,,million francs,11967,GDP,million francs at factor cost
1838,,131,1901-10=100,,,657,659,million francs,1111,293,million francs,12921,GDP,million francs at factor cost
1839,,130,1901-10=100,,,651,677,million francs,1124,,million francs,12546,GDP,million francs at factor cost
1840,,135,1901-10=100,76,1914=100,747,695,million francs,1160,295,million francs,13466,GDP,million francs at factor cost
1841,,134,1901-10=100,76,1914=100,805,761,million francs,1198,,million francs,14067,GDP,million francs at factor cost
1842,,131,1901-10=100,78,1914=100,847,644,million francs,1256,297,million francs,13745,GDP,million francs at factor cost
1843,,121,1901-10=100,78,1914=100,846,687,million francs,1270,,million francs,13612,GDP,million francs at factor cost
1844,,118,1901-10=100,77,1914=100,867,790,million francs,1298,299,million francs,13866,GDP,million francs at factor cost
1845,,121,1901-10=100,81,1914=100,856,848,million francs,1330,,million francs,14013,GDP,million francs at factor cost
1846,,129,1901-10=100,82,1914=100,920,852,million francs,1352,298,million francs,14925,GDP,million francs at factor cost
1847,,136,1901-10=100,82,1914=100,956,720,million francs,1343,139,million francs,17352,GDP,million francs at factor cost
1848,,112,1901-10=100,80,1914=100,474,690,million francs,1207,91,million francs,12992,GDP,million francs at factor cost
1849,,111,1901-10=100,79,1914=100,724,936,million francs,1257,130,million francs,14087,GDP,million francs at factor cost
1850,,111,1901-10=100,76,1914=100,791,1068,million francs,1297,128,million francs,14279,GDP,million francs at market prices
1851,,110,1901-10=100,76,1914=100,765,1158,million francs,1273,120,million francs,14154,GDP,million francs at market prices
1852,,119,1901-10=100,76,1914=100,989,1257,million francs,1336,142,million francs,15986,GDP,million francs at market prices
1853,,139,1901-10=100,80,1914=100,1196,1542,million francs,1391,143,million francs,16286,GDP,million francs at market prices
1854,,148,1901-10=100,83,1914=100,1292,1414,million francs,1418,152,million francs,18396,GDP,million francs at market prices
1855,,154,1901-10=100,85,1914=100,1594,1558,million francs,1536,192,million francs,18488,GDP,million francs at market prices
1856,,156,1901-10=100,86,1914=100,1990,1893,million francs,1638,179,million francs,20011,GDP,million francs at market prices
