year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit
1792,,98,1913=100,,,,,,,,,,,
1793,,98,1913=100,,,,,,,,,,,
1794,,101,1913=100,,,,,,,,,,,
1795,,122,1913=100,,,,,,,,,,,
1796,,114,1913=100,,,,,,,,,,,
1797,,108,1913=100,,,,,,,,,,,
1798,,116,1913=100,,,,,,,,,,,
1799,,132,1913=100,,,,,,,,,,,
1800,,135,1913=100,,,,,,,,,,,
1801,,134,1913=100,,,,,,,,,,,
1802,,131,1913=100,,,,,,,,,,,
1803,,139,1913=100,,,,,,,,,,,
1804,,136,1913=100,,,,,,,,,,,
1805,,156,1913=100,,,,,,,,,,,
1806,,157,1913=100,,,,,,,,,,,
1807,,148,1913=100,,,,,,,,,,,
1808,,176,1913=100,,,,,,,,,,,
1809,,156,1913=100,,,,,,,,,,,
1810,,132,1913=100,,,,,,,,,,,
1811,,123,1913=100,,,,,,,,,,,
1812,,137,1913=100,,,,,,,,,,,
1813,,120,1913=100,,,,,,,,,,,
1814,,110,1913=100,,,,,,,,,,,
1815,,112,1913=100,,,,,,,,,,,
1816,,124,1913=100,,,,,,,,,,,
1817,,148,1913=100,,,,,,,,,,,
1818,,130,1913=100,,,,,,,,,,,
1819,,103,1913=100,,,,,,,,,,,
1820,,90,1913=100,44,1913=100,,,,,,,,,
1821,,85,1913=100,38,1913=100,,,,,,,,,
1822,,84,1913=100,38,1913=100,,,,,,,,,
1823,,82,1913=100,40,1913=100,,,,,,,,,
1824,,72,1913=100,30,1913=100,,,,,,,,,
1825,,76,1913=100,29,1913=100,,,,,,,,,
1826,,72,1913=100,33,1913=100,,,,,,,,,
1827,,77,1913=100,39,1913=100,,,,,,,,,
1828,,78,1913=100,40,1913=100,,,,,,,,,
1829,,77,1913=100,40,1913=100,,,,,,,,,
1830,,78,1913=100,43,1913=100,,,,,,,,,
1831,,82,1913=100,50,1913=100,,,,,,,,,
1832,,80,1913=100,47,1913=100,,,,,,,,,
1833,,76,1913=100,44,1913=100,,,,,,,,,
1834,,76,1913=100,37,1913=100,,,,,,,,,
1835,,77,1913=100,38,1913=100,,,,,,,,,
1836,,78,1913=100,37,1913=100,,,,,,,,,
1837,,74,1913=100,38,1913=100,,,,,,,,,
1838,,78,1913=100,44,1913=100,,,,,,,,,
1839,,81,1913=100,46,1913=100,,,,,,,,,
