Year,Country,Index_Value,Base
1825,France,19.7,1913=100
1825,United Kingdom,13,1913=100
1801,United Kingdom,6.6,1913=100
1826,France,20.8,1913=100
1826,United Kingdom,13,1913=100
1802,United Kingdom,6.9,1913=100
1827,France,21.3,1913=100
1827,United Kingdom,13,1913=100
1803,United Kingdom,7.1,1913=100
1828,France,20.9,1913=100
1828,United Kingdom,14,1913=100
1804,United Kingdom,7.3,1913=100
1829,France,21.1,1913=100
1829,United Kingdom,14,1913=100
1805,United Kingdom,7.4,1913=100
1830,France,21,1913=100
1830,United Kingdom,15,1913=100
1806,United Kingdom,7.6,1913=100
1831,France,20.4,1913=100
1831,Spain,8.4,1913=100
1831,United Kingdom,15,1913=100
1807,United Kingdom,7.8,1913=100
1832,France,21.5,1913=100
1832,United Kingdom,16,1913=100
1808,United Kingdom,7.9,1913=100
1833,France,22.9,1913=100
1833,United Kingdom,16,1913=100
1809,United Kingdom,8.1,1913=100
1834,France,23.1,1913=100
1834,United Kingdom,17,1913=100
1810,United Kingdom,8.2,1913=100
1835,France,23,1913=100
1835,Spain,10.3,1913=100
1835,United Kingdom,17,1913=100
1811,United Kingdom,8.4,1913=100
1836,France,23.2,1913=100
1836,United Kingdom,18,1913=100
1812,United Kingdom,8.5,1913=100
1837,France,22.8,1913=100
1837,United Kingdom,19,1913=100
1813,United Kingdom,8.6,1913=100
1838,France,24.2,1913=100
1838,United Kingdom,19,1913=100
1814,United Kingdom,8.8,1913=100
1839,France,22.9,1913=100
1839,United Kingdom,20,1913=100
1815,France,19.2,1913=100
1815,United Kingdom,9,1913=100
1840,France,24.3,1913=100
1840,United Kingdom,20,1913=100
1816,France,19.5,1913=100
1816,United Kingdom,9.2,1913=100
1841,France,25.6,1913=100
1841,United Kingdom,21,1913=100
1817,France,19.9,1913=100
1817,United Kingdom,9.5,1913=100
1842,France,26.7,1913=100
1842,Spain,11.9,1913=100
1842,United Kingdom,22,1913=100
1818,France,21.3,1913=100
1818,United Kingdom,9.8,1913=100
1843,France,28.3,1913=100
1843,Spain,12.8,1913=100
1843,United Kingdom,22,1913=100
1819,France,19.5,1913=100
1819,United Kingdom,10,1913=100
1844,France,28.4,1913=100
1844,Spain,15.3,1913=100
1844,United Kingdom,23,1913=100
1820,France,20.7,1913=100
1820,United Kingdom,10,1913=100
1845,France,29.7,1913=100
1845,Spain,16.5,1913=100
1845,United Kingdom,24,1913=100
1821,France,21.9,1913=100
1821,United Kingdom,11,1913=100
1846,France,30.6,1913=100
1846,Spain,16.8,1913=100
1846,United Kingdom,24,1913=100
1822,France,21.4,1913=100
1822,United Kingdom,11,1913=100
1847,France,29.7,1913=100
1847,Spain,15.5,1913=100
1847,United Kingdom,25,1913=100
1823,France,20.2,1913=100
1823,United Kingdom,12,1913=100
1848,France,26.7,1913=100
1848,Spain,16.6,1913=100
1848,United Kingdom,26,1913=100
1824,France,21.8,1913=100
1824,United Kingdom,12,1913=100
1849,France,32.2,1913=100
1849,Spain,19,1913=100
1849,United Kingdom,27,1913=100
1850,France,33.5,1913=100
1850,Germany,9.5,1913=100
1850,Spain,20.7,1913=100
1850,United Kingdom,28,1913=100
1851,France,31.1,1913=100
1851,Germany,9.8,1913=100
1851,Spain,23.1,1913=100
1851,United Kingdom,29,1913=100
1852,France,34.8,1913=100
1852,Germany,10,1913=100
1852,Spain,23.7,1913=100
1852,United Kingdom,30,1913=100
1853,France,36.5,1913=100
1853,Germany,9.9,1913=100
1853,Spain,23.6,1913=100
1853,United Kingdom,31,1913=100
1854,France,34.2,1913=100
1854,Germany,9.7,1913=100
1854,Spain,23.3,1913=100
1854,United Kingdom,32,1913=100
1855,France,37.3,1913=100
1855,Germany,10,1913=100
1855,Spain,24.8,1913=100
1855,United Kingdom,33,1913=100
1856,France,38.1,1913=100
1856,Germany,11,1913=100
1856,Spain,26.9,1913=100
1856,United Kingdom,28.1,1913=100
1857,France,35.3,1913=100
1857,Germany,12,1913=100
1857,Spain,27.8,1913=100
1857,United Kingdom,29.1,1913=100
1858,France,38.2,1913=100
1858,Germany,12,1913=100
1858,Spain,28.6,1913=100
1858,United Kingdom,28.5,1913=100
1859,France,36.6,1913=100
1859,Germany,12,1913=100
1859,Spain,29.7,1913=100
1859,United Kingdom,30,1913=100
1860,France,39.1,1913=100
1860,Germany,13,1913=100
1860,Russia,8.8,1913=100
1860,Spain,31.2,1913=100
1860,United Kingdom,31.7,1913=100
1861,France,38.7,1913=100
1861,Germany,13,1913=100
1861,Italy,32,1913=100
1861,Russia,8.5,1913=100
1861,Spain,32.4,1913=100
1861,Sweden,15,1913=100
1861,United Kingdom,31.7,1913=100
1862,France,37,1913=100
1862,Germany,13,1913=100
1862,Italy,32,1913=100
1862,Russia,6.8,1913=100
1862,Spain,31,1913=100
1862,Sweden,16,1913=100
1862,United Kingdom,32.4,1913=100
1863,France,37.8,1913=100
