year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit,customs_typos,imports_typos
1861,,,,,,821,478,million lire,,,,,,,,
1862,,,,,,830,576,million lire,,59,million lire,,,,,
1863,,,,,,902,633,million lire,,60,million lire,,,,,
1864,,,,,,984,573,million lire,,59,million lire,,,,,
1865,,,,,,965,558,million lire,,63,million lire,,,,,
1866,,,,,,869,613,million lire,,67,million lire,,,,,
1867,,,,,,884,732,million lire,,66,million lire,,,,,
1868,,,,,,895,786,million lire,,75,million lire,,,,,
1869,,,,,,935,791,million lire,,81,million lire,,,,,
1870,,,,,,895,755,million lire,,74,million lire,,,,,
1871,,,,,,961,1075,million lire,,81,million lire,,,,,
1872,,,,,,1183,1162,million lire,,88,million lire,,,,,
1873,,,,,,1261,1131,million lire,,97,million lire,,,,,
1874,,,,,,1296,978,million lire,,101,million lire,,,,,
1875,,,,,,1207,1022,million lire,,104,million lire,,,,101,
1876,,,,,,1307,1208,million lire,,111,million lire,,,,,
1877,,,,,,1142,934,million lire,,103,million lire,,,,,
1878,,,,,,1062,1021,million lire,,108,million lire,,,,,
1879,,,,,,1252,1072,million lire,,134,million lire,,,,,
1880,,,,,,1187,1104,million lire,,126,million lire,,,,,
1881,,,,,,1240,1165,million lire,,157,million lire,,,,,
1882,,,,,,1227,1152,million lire,,159,million lire,,,,,
1883,,,,,,1288,1188,million lire,,179,million lire,,,,,
1884,,,,,,1319,1071,million lire,,86,million lire,,,,,
1885,,,,,,1460,951,million lire,,204,million lire,,,,,
1886,,,,,,1458,1028,million lire,,191,million lire,,,,,
1887,,,,,,1605,1002,million lire,,205,million lire,,,,,
1888,,,,,,1175,892,million lire,,212,million lire,,,,,
1889,,,,,,1391,951,million lire,,206,million lire,,,,,
1890,,,,,,1319,896,million lire,,231,million lire,,,,,
1891,,,,,,1127,877,million lire,,211,million lire,,,,,
1892,,,,,,1173,958,million lire,,204,million lire,,,,,
1893,,,,,,1191,964,million lire,,204,million lire,,,,,
1894,,,,,,1095,1027,million lire,,188,million lire,,,,,
1895,,,,,,1187,1038,million lire,,195,million lire,,,,,
1896,,,,,,1180,1052,million lire,,198,million lire,,,,,
1897,,,,,,1192,1092,million lire,,202,million lire,,,,,
