year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit
1868,,,,,,10693,15553,thousand yen,29,0.7,million yen,,,
1869,,,,,,20784,12909,thousand yen,34,0.5,million yen,,,
1870,,,,,,33742,14543,thousand yen,16,0.6,million yen,,,
1871,,,,,,21917,17969,thousand yen,22,1.1,million yen,,,
1872,,,,,,26175,17027,thousand yen,50,1.3,million yen,,,
1873,,,,,,28107,21635,thousand yen,75,1.7,million yen,,,
1874,,,,,,23462,19317,thousand yen,73,1.5,million yen,,,
1875,,,,,,29976,18611,thousand yen,69,1.7,million yen,,,
1876,,,,,,23965,27712,thousand yen,59,2.0,million yen,,,
1877,,,,,,27421,23349,thousand yen,52,2.4,million yen,,,
1878,,,,,,32875,25968,thousand yen,62,2.4,million yen,,,
1879,,,,,,32953,28176,thousand yen,62,2.7,million yen,,,
1880,,,,,,36627,28395,thousand yen,63,2.6,million yen,,,
1881,,,,,,31191,31059,thousand yen,71,2.6,million yen,,,
1882,,,,,,29447,37722,thousand yen,74,2.6,million yen,,,
1883,,,,,,28445,36268,thousand yen,83,2.7,million yen,,,
1884,,,,,,29673,33871,thousand yen,75,2.8,million yen,,,
1885,,,,,,29357,37147,thousand yen,59,2.1,million yen,806,GNP,million yen
1886,,,,,,32168,48876,thousand yen,76,3.0,million yen,800,GNP,million yen
1887,,,,,,44304,52408,thousand yen,82,4.1,million yen,818,GNP,million yen
1888,,,,,,65455,65706,thousand yen,91,4.6,million yen,866,GNP,million yen
1889,,,,,,66104,70061,thousand yen,93,4.7,million yen,955,GNP,million yen
1890,,,,,,82,57,million yen,160,4.4,million yen,1056,GNP,million yen
1891,,,,,,63,80,million yen,152,4.5,million yen,1139,GNP,million yen
1892,,,,,,71,91,million yen,148,5.0,million yen,1125,GNP,million yen
1893,,,,,,88,90,million yen,156,5.1,million yen,1197,GNP,million yen
1894,,,,,,117,113,million yen,138,5.8,million yen,1338,GNP,million yen
1895,,,,,,129,136,million yen,279,6.8,million yen,1552,GNP,million yen
1896,,,,,,172,118,million yen,315,6.7,million yen,1666,GNP,million yen
1897,,,,,,221,167,million yen,322,8.0,million yen,1957,GNP,million yen
1898,,,,,,282,170,million yen,447,9.1,million yen,2194,GNP,million yen
1899,,,,,,224,223,million yen,438,16,million yen,2314,GNP,million yen
1900,,,,,,292,213,million yen,372,17,million yen,2414,GNP,million yen
1901,,35,1938=100,,,263,261,million yen,357,14,million yen,2484,GNP,million yen
1902,,36,1938=100,,,279,268,million yen,451,16,million yen,2537,GNP,million yen
1903,,38,1938=100,,,327,301,million yen,389,17,million yen,2696,GNP,million yen
1904,,40,1938=100,,,382,329,million yen,507,23,million yen,3028,GNP,million yen
1905,,43,1938=100,,,502,335,million yen,708,37,million yen,3084,GNP,million yen
1906,,44,1938=100,,,437,439,million yen,1107,42,million yen,3302,GNP,million yen
1907,,48,1938=100,,,512,452,million yen,1673,50,million yen,3743,GNP,million yen
1908,,46,1938=100,,,461,399,million yen,1474,40,million yen,3766,GNP,million yen
1909,,44,1938=100,,,431,437,million yen,1377,36,million yen,3780,GNP,million yen
1910,,44,1938=100,,,520,502,million yen,1838,40,million yen,3925,GNP,million yen
1911,,46,1938=100,,,581,523,million yen,1473,49,million yen,4463,GNP,million yen
1912,,49,1938=100,56,1938=100,684,618,million yen,1546,68,million yen,4774,GNP,million yen
1913,,49,1938=100,54,1938=100,795,716,million yen,1663,74,million yen,5013,GNP,million yen
1914,,47,1938=100,50,1938=100,671,671,million yen,1583,44,million yen,4738,GNP,million yen
1915,,47,1938=100,47,1938=100,636,793,million yen,1603,32,million yen,4991,GNP,million yen
1916,,57,1938=100,51,1938=100,879,1234,million yen,1802,36,million yen,6145,GNP,million yen
1917,,72,1938=100,63,1938=100,1201,1752,million yen,2488,45,million yen,8592,GNP,million yen
1918,,94,1938=100,81,1938=100,1902,2159,million yen,3487,69,million yen,11839,GNP,million yen
1919,,115,1938=100,109,1938=100,2501,2379,million yen,4478,81,million yen,15453,GNP,million yen
1920,,126,1938=100,122,1938=100,2681,2200,million yen,4968,69,million yen,15896,GNP,million yen
1921,,98,1938=100,104,1938=100,1940,1503,million yen,5223,101,million yen,14886,GNP,million yen
1922,,95,1938=100,107,1938=100,2216,1880,million yen,4737,108,million yen,15573,GNP,million yen
1923,,97,1938=100,103,1938=100,2393,1686,million yen,4771,89,million yen,14924,GNP,million yen
1924,,101,1938=100,104,1938=100,2971,2105,million yen,5159,120,million yen,15576,GNP,million yen
1925,,98,1938=100,105,1938=100,3105,2670,million yen,4499,111,million yen,16265,GNP,million yen
1926,,87,1938=100,99,1938=100,2918,2414,million yen,4276,151,million yen,15975,GNP,million yen
1927,,83,1938=100,94,1938=100,2712,2383,million yen,4542,141,million yen,16293,GNP,million yen
1928,,83,1938=100,92,1938=100,2745,2400,million yen,4471,151,million yen,16506,GNP,million yen
1929,,81,1938=100,92,1938=100,2765,2604,million yen,4557,136,million yen,16286,GNP,million yen
1930,5.3,67,1938=100,78,1938=100,2005,1871,million yen,4261,105,million yen,13850,GNP,million yen
1931,6.1,56,1938=100,68,1938=100,1686,1480,million yen,3804,114,million yen,12520,GNP,million yen
