year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit,customs_typos,imports_typos
1846,,,,,,162,118,million guilders,,,,,,,,
1847,,,,,,169,126,million guilders,,,,,,,,
1848,,,,,,181,124,million guilders,,,,,,,,
1849,,,,,,180,127,million guilders,,,,,,,,
1850,,,,,,188,137,million guilders,57,5,million guilders,,,,,
1851,,,,,,200,144,million guilders,57,5,million guilders,,,,,
1852,,,,,,205,157,million guilders,57,5,million guilders,,,,,
1853,,,,,,204,154,million guilders,58,5,million guilders,,,,,
1854,,,,,,244,193,million guilders,60,5,million guilders,,,,,
1855,,,,,,249,217,million guilders,61,5,million guilders,,,,,
1856,,,,,,294,225,million guilders,57,4,million guilders,,,,,
1857,,,,,,300,231,million guilders,58,4,million guilders,,,,,
1858,,,,,,313,231,million guilders,60,4,million guilders,,,,,
1859,,,,,,288,242,million guilders,59,4,million guilders,,,,,
1860,,,,,,316,251,million guilders,60,5,million guilders,,,,,
1861,,,,,,335,273,million guilders,61,5,million guilders,,,,,
1862,,,,,,329,253,million guilders,62,5,million guilders,,,,,
1863,,,,,,351,287,million guilders,63,5,million guilders,,,,,
1864,,,,,,381,344,million guilders,65,4,million guilders,,,,,
1865,,,,,,403,344,million guilders,65,4,million guilders,,,,,
1866,,,,,,425,338,million guilders,69,5,million guilders,,,,,
1867,,,,,,439,340,million guilders,72,4,million guilders,,,,,
1868,,,,,,469,368,million guilders,71,4,million guilders,,,,,
1869,,,,,,461,391,million guilders,74,5,million guilders,,,,,
1870,,,,,,507,399,million guilders,75,5,million guilders,,,,,
1871,,,,,,586,460,million guilders,78,5,million guilders,,,,,
1872,,,,,,617,514,million guilders,82,5,million guilders,,,,,
1873,,,,,,682,508,million guilders,85,6,million guilders,,,,,
1874,,,,,,718,538,million guilders,89,6,million guilders,,,,,
1875,,,,,,713,533,million guilders,91,6,million guilders,,,,,
1876,,,,,,750,541,million guilders,96,6,million guilders,,,,,
1877,,,,,,809,563,million guilders,95,5,million guilders,,,,,
1878,,,,,,847,582,million guilders,96,5,million guilders,,,,,
1879,,,,,,840,630,million guilders,98,4,million guilders,,,,,
1880,,,,,,840,630,million guilders,103,5,million guilders,,,,,
1881,,,,,,920,690,million guilders,106,5,million guilders,,,,,
1882,,,,,,992,752,million guilders,105,5,million guilders,,,,,
1883,,,,,,1073,684,million guilders,104,5,million guilders,,,,,
1884,,,,,,1129,841,million guilders,104,5,million guilders,,,,,
1885,,,,,,1092,891,million guilders,107,5,million guilders,,,,,
1886,,,,,,1103,950,million guilders,109,5,million guilders,,,,,
1887,,,,,,1137,992,million guilders,110,5,million guilders,,,,,
1888,,,,,,1272,1115,million guilders,112,5,million guilders,,,,,
1889,,,,,,1245,1094,million guilders,114,5,million guilders,,,,,
1890,,,,,,1300,1088,million guilders,114,6,million guilders,,,,,
1891,,,,,,1356,1141,million guilders,118,6,million guilders,,,,,
1892,,,,,,1282,1134,million guilders,120,6,million guilders,,,,,
1893,,,,,,1409,1117,million guilders,115,6,million guilders,,,,,
1894,,,,,,1461,1115,million guilders,118,6,million guilders,,,,,
1895,,,,,,1444,1178,million guilders,121,7,million guilders,,,,,
1896,,,,,,1635,1338,million guilders,122,8,million guilders,,,,,
1897,,,,,,1706,1479,million guilders,123,9,million guilders,,,,,
1898,,,,,,1796,1516,million guilders,125,9,million guilders,,,,,
1899,,,,,,1917,1583,million guilders,131,9,million guilders,,,,,
1900,,,,,,1968,1695,million guilders,138,10,million guilders,,,,,
1901,,,,,,2047,1734,million guilders,119,10,million guilders,,,,,
1902,,,,,,2172,1828,million guilders,125,10,million guilders,,,,,
1903,,,,,,2278,1951,million guilders,128,11,million guilders,,,,,
1904,,,,,,2420,1986,million guilders,130,11,million guilders,,,,,
1905,,,,,,2584,1994,million guilders,132,12,million guilders,,,,,
1906,,,,,,2524,2084,million guilders,139,12,million guilders,,,,,
1907,,,,,,2692,2212,million guilders,138,12,million guilders,,,,,
1908,,,,,,2824,2181,million guilders,139,12,million guilders,,,,,
1909,,,,,,3137,2455,million guilders,145,13,million guilders,,,,,
1910,,,,,,3265,2632,million guilders,151,13,million guilders,,,,,
1911,,,,,,3333,2732,million guilders,154,14,million guilders,,,,,
1912,,,,,,3613,3113,million guilders,158,16,million guilders,,,,,
1913,,,,,,3918,3083,million guilders,166,17,million guilders,,,,,
1914,,,,,,2889,2505,million guilders,165,14,million guilders,,,,,
1915,,,,,,2111,1749,million guilders,195,15,million guilders,,,,,
1916,,,,,,1883,1347,million guilders,272,17,million guilders,,,,,
1917,,,,,,970,821,million guilders,503,13,million guilders,,,,,
1918,,,,,,618,386,million guilders,506,10,million guilders,,,,,
1919,,,,,,2835,1426,million guilders,611,33,million guilders,,,,,
1920,,,,,,3345,1722,million guilders,744,52,million guilders,,,,,
1921,,,,,,2267,1385,million guilders,666,41,million guilders,,,,,
1922,,,,,,2032,1230,million guilders,592,42,million guilders,,,,,
1923,,,,,,2017,1312,million guilders,531,39,million guilders,,,,,
1924,,,,,,2366,1689,million guilders,506,40,million guilders,,,,,
1925,,,,,,2455,1809,million guilders,540,45,million guilders,,,,,
1926,,,,,,2443,1749,million guilders,569,54,million guilders,,,,,
1927,,,,,,2550,1900,million guilders,596,58,million guilders,,,,,
1928,,,,,,2688,1990,million guilders,571,57,million guilders,,,,,
1929,,,,,,2766,2005,million guilders,606,62,million guilders,,,,,
1930,,,,,,2427,1728,million guilders,583,66,million guilders,,,,,
1931,,,,,,1896,1315,million guilders,502,70,million guilders,,,,,
1932,,,,,,1306,850,million guilders,460,61,million guilders,,,,,
1933,,,,,,1254,754,million guilders,455,100,million guilders,,,,,
1934,,,,,,1079,736,million guilders,476,81,million guilders,,,,,
1935,,,,,,978,711,million guilders,499,89,million guilders,,,,,
1936,,,,,,1071,796,million guilders,507,84,million guilders,,,,,
1937,,,,,,1605,1204,million guilders,582,91,million guilders,,,,,
1938,,,,,,1460,1079,million guilders,600,98,million guilders,,,,,
1939,,,,,,1560,1006,million guilders,645,123,million guilders,,,,,
1940,,,,,,1023,649,million guilders,683,80,million guilders,,,,,
1941,,,,,,744,635,million guilders,1142,22,million guilders,,,,,
1942,,,,,,482,617,million guilders,1481,,million guilders,,,,,
1943,,,,,,420,641,million guilders,1460,9,million guilders,,,,,
1944,,,,,,,,,1356,6,million guilders,,,,,
1945,,,,,,,,,645,8,million guilders,,,,,
1946,,,,,,2205,816,million guilders,2422,54,million guilders,,,,,
1947,,,,,,4279,1893,million guilders,3328,68,million guilders,,,,,
1948,,,,,,4965,2719,million guilders,5374,230,million guilders,,,,,
1949,,,,,,5332,3851,million guilders,4288,258,million guilders,,,,,
1950,,,,,,7.8,5.4,thousand million guilders,4125,355,million guilders,,,,,
1951,,,,,,9.7,7.4,thousand million guilders,5686,410,million guilders,,,,,
1952,,,,,,8.5,8,thousand million guilders,6254,362,million guilders,,,,,
1953,,,,,,9,8.2,thousand million guilders,6087,430,million guilders,,,,,
1954,,,,,,10.9,9.2,thousand million guilders,6303,542,million guilders,,,,,
1955,,,,,,12.2,10.2,thousand million guilders,6538,609,million guilders,,,,,
1956,,,,,,14.2,10.9,thousand million guilders,7644,721,million guilders,,,,,
1957,,,,,,15.6,11.8,thousand million guilders,8058,869,million guilders,,,,,
1958,,,,,,13.8,12.2,thousand million guilders,7691,817,million guilders,,,,,
