year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit,customs_typos,imports_typos
1861,,,,,,27,14,million escudos,,,,,,,,
1865,,,,,,25,20,million escudos,,,,,,,,
1866,,,,,,27,19,million escudos,,,,,,,,
1867,,,,,,26,17,million escudos,,,,,,,,
1868,,,,,,25,18,million escudos,,,,,,,,
1869,,,,,,23,18,million escudos,,,,,,,,
1870,,,,,,25,20,million escudos,,,,,,,,
1871,,,,,,27,21,million escudos,,,,,,,,
1872,,,,,,29,23,million escudos,,,,,,,,
1873,,,,,,34,24,million escudos,,,,,,,,
1874,,,,,,28,23,million escudos,,,,,,,,
1875,,,,,,36,24,million escudos,,,,,,,,
1876,,,,,,35,23,million escudos,,,,,,,,
1877,,,,,,32,25,million escudos,,,,,,,,
1878,,,,,,32,20,million escudos,,,,,,,,
1879,,,,,,34,21,million escudos,29,12,million escudos,,,,,
1880,,,,,,35,25,million escudos,24,9,million escudos,,,,,
1881,,,,,,36,21,million escudos,26,10,million escudos,,,,,
1882,,,,,,37,25,million escudos,29,11,million escudos,,,,,
1883,,,,,,31,23,million escudos,38,11,million escudos,,,,,
1884,,,,,,33,22,million escudos,30,12,million escudos,,,,,
1885,,,,,,33,23,million escudos,31,12,million escudos,,,,,
1886,,,,,,37,26,million escudos,32,13,million escudos,,,,,
1887,,,,,,37,21,million escudos,35,15,million escudos,,,,,
1888,,,,,,38,23,million escudos,38,14,million escudos,,,,,
1889,,,,,,42,23,million escudos,38,14,million escudos,,,,,
1890,,,,,,44,22,million escudos,39,15,million escudos,,,,,
1891,,,,,,40,21,million escudos,40,13,million escudos,,,,,
1892,,,,,,31,25,million escudos,38,10,million escudos,,,,,
1893,,,,,,38,23,million escudos,42,14,million escudos,,,,,
1894,,,,,,36,24,million escudos,46,14,million escudos,,,,,
1895,,,,,,40,27,million escudos,46,16,million escudos,,,,,
1896,,,,,,40,26,million escudos,52,15,million escudos,,,,,
1897,,,,,,40,27,million escudos,50,13,million escudos,,,,,
1898,,,,,,49,31,million escudos,49,12,million escudos,,,,,
1899,,,,,,51,29,million escudos,50,15,million escudos,,,,,
1900,,,,,,60,31,million escudos,53,16,million escudos,,,,,
1901,,,,,,58,28,million escudos,55,15,million escudos,,,,,
1902,,,,,,56,28,million escudos,53,14,million escudos,,,,,
1903,,,,,,59,31,million escudos,54,16,million escudos,,,,,
1904,,,,,,62,31,million escudos,,17,million escudos,,,,,
1905,,,,,,61,29,million escudos,,17,million escudos,,,,,
1906,,,,,,60,31,million escudos,,17,million escudos,,,,,
1907,,,,,,61,30,million escudos,,16,million escudos,,,,,
