year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit
1845,,,,,,152,152,million pesetas,,,,,,
1846,,,,,,172,169,million pesetas,,,,,,
1847,,,,,,165,195,million pesetas,,,,,,
1848,,,,,,170,129,million pesetas,,,,,,
1849,,,,,,153,137,million pesetas,,,,,,
1850,,,,,,174,164,million pesetas,318,42,million pesetas,,,
1851,,,,,,169,145,million pesetas,314,40,million pesetas,,,
1852,,,,,,185,136,million pesetas,335,43,million pesetas,,,
1853,,,,,,192,188,million pesetas,350,40,million pesetas,,,
1854,,,,,,215,131,million pesetas,362,38,million pesetas,,,
1855,,,,,,257,323,million pesetas,371,44,million pesetas,,,
1856,,,,,,332,323,million pesetas,451,49,million pesetas,,,
1857,,,,,,376,336,million pesetas,492,53,million pesetas,,,
1858,,,,,,380,204,million pesetas,464,53,million pesetas,,,
1859,,,,,,317,247,million pesetas,497,56,million pesetas,,,
1860,,,,,,375,272,million pesetas,577,59,million pesetas,,,
1861,,,,,,454,305,million pesetas,569,66,million pesetas,,,
1862,,,,,,464,246,million pesetas,791,95,million pesetas,,,
1863,,,,,,565,295,million pesetas,524,60,million pesetas,,,
1864,,,,,,568,321,million pesetas,577,59,million pesetas,,,
1865,,,,,,472,261,million pesetas,601,57,million pesetas,,,
1866,,,,,,426,296,million pesetas,575,53,million pesetas,,,
1867,,,,,,359,381,million pesetas,767,54,million pesetas,,,
1868,,,,,,448,390,million pesetas,746,44,million pesetas,,,
1869,,,,,,385,434,million pesetas,595,51,million pesetas,,,
1870,,,,,,394,337,million pesetas,683,52,million pesetas,,,
1871,,,,,,456,439,million pesetas,522,56,million pesetas,,,
1872,,,,,,602,496,million pesetas,488,53,million pesetas,,,
1873,,,,,,414,585,million pesetas,600,62,million pesetas,,,
1874,,,,,,528,508,million pesetas,688,67,million pesetas,,,
1875,,,,,,478,538,million pesetas,636,72,million pesetas,,,
1876,,,,,,529,452,million pesetas,1165,83,million pesetas,,,
1877,,,,,,496,569,million pesetas,885,88,million pesetas,,,
1878,,,,,,482,536,million pesetas,955,107,million pesetas,,,
1879,,,,,,522,544,million pesetas,706,111,million pesetas,,,
1880,,,,,,624,737,million pesetas,735,114,million pesetas,,,
1881,,,,,,574,759,million pesetas,1081,121,million pesetas,,,
1882,,,,,,707,768,million pesetas,819,145,million pesetas,,,
1883,,,,,,838,838,million pesetas,821,130,million pesetas,,,
1884,,,,,,701,721,million pesetas,815,123,million pesetas,,,
1885,,,,,,695,766,million pesetas,799,126,million pesetas,,,
1886,,,,,,726,623,million pesetas,866,133,million pesetas,,,
1887,,,,,,690,760,million pesetas,787,134,million pesetas,,,
1888,,,,,,676,817,million pesetas,731,100,million pesetas,,,
1889,,,,,,828,851,million pesetas,746,127,million pesetas,,,
1890,,,,,,845,876,million pesetas,747,134,million pesetas,,,
1891,,,,,,742,962,million pesetas,745,134,million pesetas,,,
1892,,,,,,644,998,million pesetas,707,129,million pesetas,,,
1893,,,,,,615,906,million pesetas,932,162,million pesetas,,,
1894,,,,,,754,904,million pesetas,951,165,million pesetas,,,
1895,,,,,,707,915,million pesetas,733,113,million pesetas,,,
1896,,,,,,807,1244,million pesetas,793,121,million pesetas,,,
1897,,,,,,902,1349,million pesetas,775,93,million pesetas,,,
1898,,,,,,826,1314,million pesetas,868,104,million pesetas,,,
1899,,,,,,1025,1088,million pesetas,483,75,million pesetas,,,
1900,,,,,,1089,1222,million pesetas,914,168,million pesetas,,,
1901,,,,,,1144,1159,million pesetas,959,166,million pesetas,,,
1902,,,,,,1085,1138,million pesetas,961,140,million pesetas,,,
1903,,,,,,1176,1192,million pesetas,989,144,million pesetas,,,
1904,,,,,,1179,1253,million pesetas,990,141,million pesetas,,,
1905,,,,,,1206,1279,million pesetas,990,164,million pesetas,,,
1906,,,,,,1037,1334,million pesetas,1051,183,million pesetas,,,
1907,,,,,,1047,1344,million pesetas,1027,160,million pesetas,,,
1908,,,,,,1015,1166,million pesetas,1021,156,million pesetas,,,
1909,,,,,,960,1138,million pesetas,1015,157,million pesetas,,,
1910,,,,,,1092,1255,million pesetas,1066,169,million pesetas,,,
1911,,,,,,1219,1396,million pesetas,1079,177,million pesetas,,,
1912,,,,,,1349,1509,million pesetas,1111,181,million pesetas,,,
1913,,,,,,1581,1552,million pesetas,1286,225,million pesetas,,,
1914,,,,,,1093,881,million pesetas,1227,196,million pesetas,,,
1915,,,,,,1190,1509,million pesetas,1159,134,million pesetas,,,
1916,,,,,,1422,1515,million pesetas,1231,150,million pesetas,,,
1917,,,,,,1616,2522,million pesetas,1267,137,million pesetas,,,
1918,,,,,,1777,2299,million pesetas,1303,120,million pesetas,,,
1919,,,,,,2378,2929,million pesetas,1542,206,million pesetas,,,
1920,,,,,,5475,1710,million pesetas,1793,312,million pesetas,,,
1921,,,,,,2663,1999,million pesetas,2163,402,million pesetas,,,
1922,,,,,,2863,1562,million pesetas,2360,511,million pesetas,,,
1923,,,,,,3469,1817,million pesetas,2569,524,million pesetas,,,
1924,,,,,,3540,2169,million pesetas,2758,587,million pesetas,,,
1925,,,,,,3364,2297,million pesetas,2816,579,million pesetas,,,
1926,,,,,,2679,2249,million pesetas,1396,261,million pesetas,,,
1927,,,,,,2696,2148,million pesetas,3096,576,million pesetas,,,
1928,,,,,,3028,2518,million pesetas,3396,624,million pesetas,,,
1929,,,,,,3895,2506,million pesetas,3568,655,million pesetas,,,
1930,,,,,,3895,3250,million pesetas,3585,568,million pesetas,,,
1931,,,,,,2977,2525,million pesetas,3373,490,million pesetas,,,
1932,,,,,,2985,1757,million pesetas,3633,518,million pesetas,,,
1933,,,,,,2241,1488,million pesetas,3701,481,million pesetas,,,
1934,,,,,,2690,1517,million pesetas,3643,470,million pesetas,,,
