year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit,customs_typos,imports_typos
1850,,,,,,,,,4.7,4,million francs,,,,,
1851,,,,,,,,,5.6,5,million francs,,,,,
1852,,,,,,,,,6.3,6,million francs,,,,,
1853,,,,,,,,,6.3,6,million francs,,,,,
1854,,,,,,,,,5.9,6,million francs,,,,,
1855,,,,,,,,,6.2,6,million francs,,,,,
1856,,,,,,,,,6.7,6,million francs,,,,,
1857,,,,,,,,,7.1,6,million francs,,,,,
1858,,,,,,,,,8.1,7,million francs,,,,,
1859,,,,,,,,,9.4,7,million francs,,,,,
1860,,,,,,,,,8.4,8,million francs,,,,,
1861,,,,,,,,,8.8,8,million francs,,,,,
1862,,,,,,,,,8.8,8,million francs,,,,,
1863,,,,,,,,,9.2,9,million francs,,,,,
1864,,,,,,,,,9.3,9,million francs,,,,,
1865,,,,,,,,,9.3,9,million francs,,,,,
1866,,,,,,,,,9.2,9,million francs,,,,,
1867,,,,,,,,,9,8,million francs,,,,,
1868,,,,,,,,,9.6,9,million francs,,,,,
1869,,,,,,,,,9.5,9,million francs,,,,,
1870,,,,,,,,,9.2,9,million francs,,,,,
1871,,,,,,,,,13,11,million francs,,,,,
1872,,,,,,,,,13,13,million francs,,,,,
1873,,,,,,,,,13,13,million francs,,,,14,
1874,,,,,,,,,16,15,million francs,,,,,
1875,,,,,,,,,19,17,million francs,,,,,
1876,,,,,,,,,19,17,million francs,,,,,
1877,,,,,,,,,19,16,million francs,,,,,
1878,,,,,,,,,20,16,million francs,,,,,
1879,,,,,,,,,22,17,million francs,,,,,
1880,,,,,,,,,23,17,million francs,,,,,
1881,,,,,,,,,23,17,million francs,,,,,
1882,,,,,,,,,23,19,million francs,,,,,
1883,,,,,,,,,25,20,million francs,,,,,
1884,,,,,,,,,26,21,million francs,,,,,
1885,,,,,,756,666,million francs,27,21,million francs,,,,,
1886,,,,,,799,667,million francs,28,22,million francs,,,,,
1887,,,,,,837,671,million francs,31,25,million francs,,,,,
1888,,,,,,827,673,million francs,33,26,million francs,,,,,
1889,,,,,,907,695,million francs,35,28,million francs,,,,,
1890,,,,,,954,703,million francs,39,31,million francs,,,,,
1891,,,,,,932,672,million francs,39,32,million francs,,,,,
1892,,,,,,869,658,million francs,43,36,million francs,,,,,
1893,,,,,,828,646,million francs,46,38,million francs,,,,,
1894,,,,,,826,621,million francs,49,41,million francs,,,,,
1895,,,,,,916,663,million francs,51,43,million francs,,,,,
1896,,,,,,994,688,million francs,55,46,million francs,,,,,
1897,,,,,,1027,693,million francs,56,48,million francs,,,,,
1898,,,,,,1065,724,million francs,57,49,million francs,,,,,
1899,,,,,,1160,796,million francs,62,51,million francs,,,,,
1900,,,,,,1111,836,million francs,59,48,million francs,,,,,
1901,,,,,,1050,837,million francs,58,46,million francs,,,,,
1902,,,,,,1129,874,million francs,62,50,million francs,,,,,
1903,,,,,,1196,889,million francs,66,53,million francs,,,,,
1904,,,,,,1240,891,million francs,66,54,million francs,,,,,
1905,,,,,,1380,969,million francs,78,64,million francs,,,,,
1906,,,,,,1469,1071,million francs,77,62,million francs,,,,,
1907,,,,,,1687,1153,million francs,87,72,million francs,,,,,
1908,,,,,,1487,1038,million francs,85,70,million francs,,,,,
1909,,,,,,1602,1098,million francs,91,74,million francs,,,,,
