iso3,year,tau_tamar,tau_mitchell,rgdp,gdp_deflator,cpi_gmd,unemployment_rate_pct,imports,exports,customs_revenue,ind_prod,ind_prod_base
ARG,1864,,,26776.16,1.19e-13,2.5e-13,,23.0,22.0,,,
ARG,1865,,,29340.42,1.01e-13,2.13e-13,,30.0,26.0,,,
ARG,1866,,,30784.1,8.57e-14,1.81e-13,,37.0,27.0,,,
ARG,1867,,,32892.15,7.28e-14,1.54e-13,,39.0,33.0,,,
ARG,1868,,,33761.13,7.28e-14,1.54e-13,,42.0,30.0,,,
ARG,1869,,,35026.97,7.28e-14,1.54e-13,,41.0,32.0,,,
ARG,1870,,,36925.54,7.28e-14,1.54e-13,,49.0,30.0,,,
ARG,1871,,,36955.84,7.28e-14,1.54e-13,,46.0,27.0,,,
ARG,1872,,,40138.29,7.28e-14,1.54e-13,,62.0,47.0,,,
ARG,1873,,,42285.56,7.28e-14,1.54e-13,,73.0,47.0,,,
ARG,1874,,,42050.66,7.28e-14,1.54e-13,,58.0,45.0,,,
ARG,1875,,,44628.52,7.28e-14,1.54e-13,,58.0,52.0,,,
ARG,1876,,,45585.46,7.94e-14,1.68e-13,,36.0,48.0,,,
ARG,1877,,,50283.2,8.66e-14,1.83e-13,,40.0,45.0,,,
ARG,1878,,,47760.34,9.43e-14,1.99e-13,,44.0,37.0,,,
ARG,1879,,,49848.23,9.06e-14,1.91e-13,,46.0,49.0,,,
ARG,1880,,,48891.28,8.69e-14,1.84e-13,,46.0,58.0,,,
ARG,1881,,,49674.24,8.35e-14,1.76e-13,,56.0,58.0,,,
ARG,1882,,,62549.52,8.01e-14,1.69e-13,,61.0,60.0,,,
ARG,1883,,,70118.09,7.64e-14,1.61e-13,,80.0,60.0,,,
ARG,1884,,,75076.82,7.77e-14,1.64e-13,,94.0,68.0,,,
ARG,1885,,,88039.1,7.89e-14,1.67e-13,,92.0,84.0,,,
ARG,1886,,,88387.09,8.01e-14,1.69e-13,,95.0,70.0,,,
ARG,1887,,,94389.75,9.99e-14,2.11e-13,,117.0,84.0,,,
ARG,1888,,,109526.9,1.01e-13,2.13e-13,,128.0,100.0,,,
ARG,1889,,,120140.3,1.02e-13,2.16e-13,,165.0,123.0,,,
ARG,1890,,,110222.9,1.17e-13,2.47e-13,,142.0,101.0,,,
ARG,1891,,,104307.2,1.22e-13,2.57e-13,,67.0,103.0,,,
ARG,1892,,,124577.1,1.26e-13,2.66e-13,,91.0,113.0,,,
ARG,1893,,,131971.7,1.31e-13,2.76e-13,,96.0,94.0,,,
ARG,1894,,,152154.5,1.35e-13,2.85e-13,,93.0,102.0,,,
ARG,1895,,,168683.6,1.4e-13,2.95e-13,,95.0,120.0,,,
ARG,1896,,,186604.6,1.44e-13,3.04e-13,,112.0,117.0,,,
ARG,1897,,,151371.6,1.32e-13,2.79e-13,,98.0,101.0,,,
ARG,1898,,,164159.9,1.2e-13,2.54e-13,,107.0,134.0,,,
ARG,1899,,,193129.3,1.08e-13,2.29e-13,,117.0,185.0,,,
ARG,1900,,,170423.5,1.17e-13,2.47e-13,,113.0,155.0,,,
ARG,1901,,,184834.9,1.14e-13,2.41e-13,,114.0,168.0,,,
ARG,1902,,,181110.0,1.23e-13,2.59e-13,,103.0,179.0,,,
ARG,1903,,,207021.6,1.19e-13,2.52e-13,,131.0,221.0,,,
ARG,1904,,,229099.8,1.18e-13,2.49e-13,,187.0,264.0,,,
ARG,1905,,,259513.9,1.26e-13,2.67e-13,,205.0,323.0,,,
ARG,1906,,,272569.2,1.29e-13,2.73e-13,,270.0,292.0,,,
ARG,1907,,,278319.3,1.31e-13,2.76e-13,,286.0,296.0,,,
ARG,1908,,,305587.0,1.34e-13,2.84e-13,,273.0,366.0,,,
ARG,1909,,,320667.5,1.35e-13,2.86e-13,,303.0,397.0,,,
ARG,1910,,20.069605568445475,343993.3,1.4e-13,2.95e-13,,862.0,884.0,173.0,,
ARG,1911,,19.23913043478261,350177.4,1.37e-13,2.9e-13,,920.0,778.0,177.0,,
ARG,1912,,18.503937007874015,378783.2,1.46e-13,3.07e-13,,1016.0,1140.0,188.0,,
ARG,1913,,17.641843971631207,382725.1,1.47e-13,3.11e-13,,1128.0,1180.0,199.0,,
ARG,1914,,16.098226466575717,343089.2,1.48e-13,3.11e-13,,733.0,916.0,118.0,,
ARG,1915,,13.688760806916427,344897.4,1.59e-13,3.35e-13,,694.0,1323.0,95.0,,
ARG,1916,,12.620192307692308,334970.4,1.75e-13,3.59e-13,,832.0,1302.0,105.0,,
ARG,1917,,11.226851851851851,307829.2,2.11e-13,4.21e-13,,864.0,1250.0,97.0,,
ARG,1918,,12.214411247803163,364263.3,2.49e-13,5.31e-13,,1138.0,1822.0,139.0,,
ARG,1919,,12.080536912751677,377662.1,2.45e-13,4.99e-13,,1490.0,2343.0,180.0,,
ARG,1920,,13.976470588235294,405146.9,2.72e-13,5.84e-13,,2125.0,2373.0,297.0,,
ARG,1921,,11.920140927774515,415507.9,2.29e-13,5.19e-13,,1703.0,1525.0,203.0,,
ARG,1922,,13.146139119336311,448742.8,2.01e-13,4.37e-13,,1567.0,1536.0,206.0,,
ARG,1923,,13.576494427558258,498179.2,2.02e-13,4.29e-13,,1974.0,1753.0,268.0,,
ARG,1924,,15.71959638874137,537037.5,2.12e-13,4.37e-13,,1883.0,2299.0,296.0,,
ARG,1925,,17.561465127947816,534795.3,2.1e-13,4.25e-13,,1993.0,1973.0,350.0,,
ARG,1926,,16.265382557517388,560580.4,1.97e-13,4.13e-13,,1869.0,1800.0,304.0,,
ARG,1927,,16.076014381099128,600342.9,1.94e-13,4.08e-13,,1947.0,2294.0,313.0,,
ARG,1928,,18.82229232386961,637519.6,1.94e-13,4.05e-13,,1902.0,2396.0,358.0,,
ARG,1929,,18.172537008677896,666902.9,1.92e-13,4.08e-13,,1959.0,2168.0,356.0,,
ARG,1930,,17.261904761904763,639309.8,1.89e-13,4.13e-13,,1680.0,1396.0,290.0,,
ARG,1931,,21.890971039182283,594936.3,1.73e-13,3.55e-13,,1174.0,1456.0,257.0,,
ARG,1932,,28.827751196172247,575226.9,1.64e-13,3.19e-13,,836.0,1288.0,241.0,,
ARG,1933,,28.651059085841695,602259.6,1.71e-13,3.59e-13,,897.0,1121.0,257.0,,
ARG,1934,,22.34234234234234,649797.3,1.74e-13,3.19e-13,,1110.0,1438.0,248.0,,
ARG,1935,,23.148936170212767,678059.6,1.78e-13,3.38e-13,,1175.0,1569.0,272.0,,
ARG,1936,,23.366159355416293,683701.2,1.88e-13,3.66e-13,,1117.0,1656.0,261.0,,
ARG,1937,,18.29268292682927,733246.1,2.01e-13,3.76e-13,,1558.0,2311.0,285.0,,
ARG,1938,,22.518822724161534,735506.3,1.96e-13,3.73e-13,,1461.0,1400.0,329.0,,
ARG,1939,,,763660.1,1.99e-13,3.79e-13,,1338.0,1573.0,,,
ARG,1940,,15.943962641761175,776046.3,2.01e-13,3.88e-13,,1499.0,1428.0,239.0,,
ARG,1941,,14.800313234142521,816604.4,2.06e-13,3.98e-13,,1277.0,1465.0,189.0,,
ARG,1942,,13.186813186813186,825609.3,2.3e-13,4.21e-13,,1274.0,1789.0,168.0,,
ARG,1943,,11.464968152866241,819985.8,2.44e-13,4.25e-13,,942.0,2192.0,108.0,,
ARG,1944,,9.533267130089374,912349.0,2.51e-13,4.33e-13,,1007.0,2360.0,96.0,,
ARG,1945,,,883056.1,2.86e-13,5.3e-13,,1154.0,2498.0,,,
ARG,1946,,,961911.9,3.55e-13,6.08e-13,,2332.0,3973.0,,,
ARG,1947,,,1068904.0,4.39e-13,6.9e-13,,5349.0,5505.0,,,
ARG,1948,,,1127471.0,5.08e-13,7.69e-13,,1562.0,1629.0,,,
ARG,1949,,,1112843.0,6.17e-13,1.02e-12,,1180.0,1044.0,,,
ARG,1950,,,1126350.0,7.22e-13,1.28e-12,,964.0,1178.0,,,
ARG,1951,,,1170137.0,9.94e-13,1.75e-12,,1480.0,1169.0,,,
ARG,1952,,,1111243.0,1.2e-12,2.42e-12,,1179.0,688.0,,,
ARG,1953,,,1170137.0,1.3e-12,2.51e-12,,795.0,1125.0,,,
ARG,1954,,,1218442.0,1.39e-12,2.61e-12,,979.0,1027.0,,,
ARG,1955,,,1304508.0,1.55e-12,2.94e-12,,1173.0,929.0,,,
ARG,1956,,,1340748.0,1.98e-12,3.34e-12,,1128.0,944.0,,,
ARG,1957,,,1410201.0,2.34e-12,4.16e-12,,1310.0,975.0,,,
ARG,1958,,,1496268.0,3.13e-12,5.47e-12,,1233.0,994.0,,,
ARG,1959,,,1399627.0,6.43e-12,1.17e-11,,993.0,1009.0,,,
ARG,1960,,,1509854.0,7.82e-12,1.48e-11,,1249.0,1079.0,,,
ARG,1961,,,1591806.0,9.26e-12,1.68e-11,,1460.0,964.0,,,
ARG,1962,,,1578244.0,1.2e-11,2.12e-11,,1357.0,1216.0,,,
ARG,1963,,,1494467.0,1.52e-11,2.67e-11,,981.0,1365.0,,,
ARG,1964,,,1645861.0,1.85e-11,3.27e-11,,1077.0,1410.0,,,
ARG,1965,,,1819820.0,2.54e-11,4.2e-11,,1199.0,1493.0,,,
ARG,1966,,,1807814.0,3.36e-11,5.54e-11,,1124.0,1593.0,,,
ARG,1967,,,1865519.0,4.22e-11,7.16e-11,,1096.0,1465.0,,,
ARG,1968,,,1955484.0,5.03e-11,8.32e-11,,1169.0,1368.0,,,
ARG,1969,,,2144765.0,5.29e-11,8.95e-11,,1576.0,1612.0,,,
ARG,1970,,,2210088.0,5.83e-11,1.02e-10,4.8,1694.0,1773.0,,,
ARG,1971,,,2335137.0,7.87e-11,1.37e-10,6.0,1868.0,1740.0,,,
ARG,1972,,,2373163.0,1.28e-10,2.17e-10,6.6,1905.0,1941.0,,,
ARG,1973,,,2439890.0,2.14e-10,3.48e-10,5.6,2230.0,3266.0,,,
ARG,1974,,,2574909.0,2.77e-10,4.32e-10,3.4,3635.0,3931.0,,,
ARG,1975,,,2574177.0,8.16e-10,1.22e-09,2.3,3947.0,2961.0,,,
ARG,1976,,,2522224.0,4.42e-09,6.65e-09,4.5,3033.0,3916.0,,,
ARG,1977,,,2697119.0,1.14e-08,1.84e-08,2.8,4162.0,5652.0,,,
ARG,1978,,,2575583.0,2.99e-08,5.06e-08,2.8,3834.0,6400.0,,,
ARG,1979,,,2838879.0,7.37e-08,1.31e-07,2.0,6700.0,7810.0,,,
