year,unemployment_rate_pct,wpi,wpi_base,cpi,cpi_base,imports,exports,trade_unit,govt_revenue_total,customs_revenue,revenue_unit,gdp_gnp,gdp_gnp_type,gdp_gnp_unit
1750,,94,1770=100,,,,,,7467,1537,thousand pounds,,,
1751,,90,1770=100,,,,,,7097,1588,thousand pounds,,,
1752,,80,1770=100,,,,,,6992,1635,thousand pounds,,,
1753,,80,1770=100,,,,,,7338,1770,thousand pounds,,,
1754,,95,1770=100,,,,,,6827,1587,thousand pounds,,,
1755,,97,1770=100,,,,,,6938,1782,thousand pounds,,,
1756,,99,1770=100,,,,,,7006,1699,thousand pounds,,,
1757,,100,1770=100,,,,,,7969,1872,thousand pounds,,,
1758,,107,1770=100,,,,,,7946,1918,thousand pounds,,,
1759,,107,1770=100,,,,,,8155,1830,thousand pounds,,,
1760,,109,1770=100,,,,,,9207,2113,thousand pounds,,,
1761,,107,1770=100,,,,,,9594,2191,thousand pounds,,,
1762,,109,1770=100,,,,,,9459,1824,thousand pounds,,,
1763,,109,1770=100,,,,,,9793,2283,thousand pounds,,,
1764,,107,1770=100,,,,,,10221,2282,thousand pounds,,,
1765,,105,1770=100,,,,,,10928,2324,thousand pounds,,,
1766,,105,1770=100,,,,,,10276,2514,thousand pounds,,,
1767,,105,1770=100,,,,,,9868,2460,thousand pounds,,,
1768,,104,1770=100,,,,,,10131,2453,thousand pounds,,,
1769,,98,1770=100,,,,,,11130,2675,thousand pounds,,,
1770,,100,1770=100,,,,,,11373,2841,thousand pounds,,,
1771,,100,1770=100,,,,,,10987,2739,thousand pounds,,,
1772,,104,1770=100,,,,,,11033,2457,thousand pounds,,,
1773,,105,1770=100,,,,,,10487,2702,thousand pounds,,,
1774,,104,1770=100,,,,,,10613,2557,thousand pounds,,,
1775,,104,1770=100,,,,,,11112,2756,thousand pounds,,,
1776,,107,1770=100,,,,,,10576,2684,thousand pounds,,,
1777,,109,1770=100,,,,,,11105,2411,thousand pounds,,,
1778,,111,1770=100,,,,,,11436,2348,thousand pounds,,,
1779,,117,1770=100,,,,,,11853,2523,thousand pounds,,,
1780,,120,1770=100,,,,,,12524,2774,thousand pounds,,,
1781,,117,1770=100,111,1857=100,,,,13280,3019,thousand pounds,,,
1782,,128,1770=100,111,1857=100,,,,13765,2898,thousand pounds,,,
1783,,124,1770=100,113,1857=100,,,,12677,2949,thousand pounds,,,
1784,,115,1770=100,110,1857=100,,,,13214,3026,thousand pounds,,,
1785,,114,1770=100,104,1857=100,,,,15527,4537,thousand pounds,,,
1786,,120,1770=100,102,1857=100,,,,15246,3783,thousand pounds,,,
1787,,118,1770=100,105,1857=100,,,,16453,4094,thousand pounds,,,
1788,,120,1770=100,108,1857=100,,,,16779,3996,thousand pounds,,,
1789,,114,1770=100,114,1857=100,,,,16669,3647,thousand pounds,,,
1790,,89,1821-5=100,118,1857=100,,,,17014,3462,thousand pounds,,,
1791,,90,1821-5=100,114,1857=100,,,,18506,4018,thousand pounds,,,
1792,,88,1821-5=100,112,1857=100,,,,18607,4100,thousand pounds,,,
1793,,97,1821-5=100,120,1857=100,,,,18131,3557,thousand pounds,,,
1794,,98.5,1821-5=100,123,1857=100,,,,18732,4348,thousand pounds,,,
1795,,115,1821-5=100,146,1857=100,,,,19053,3419,thousand pounds,,,
1796,,116,1821-5=100,153,1857=100,40,39,million pounds,19391,3645,thousand pounds,,,
1797,,106,1821-5=100,133,1857=100,34,37,million pounds,21380,3940,thousand pounds,,,
1798,,108,1821-5=100,131,1857=100,50,43,million pounds,26946,4741,thousand pounds,,,
1799,,125,1821-5=100,149,1857=100,51,46,million pounds,31783,7056,thousand pounds,,,
1800,,151,1821-5=100,200,1857=100,62,53,million pounds,39086,8758,thousand pounds,,,
1801,,156,1821-5=100,209,1857=100,69,54,million pounds,39086,8758,thousand pounds,,,
1802,,122,1821-5=100,154,1857=100,55,59,million pounds,41168,7699,thousand pounds,,,
1803,,124,1821-5=100,150,1857=100,54,46,million pounds,42442,8158,thousand pounds,,,
1804,,124,1821-5=100,154,1857=100,57,49,million pounds,50206,9425,thousand pounds,,,
1805,,136,1821-5=100,177,1857=100,61,48,million pounds,55031,10130,thousand pounds,,,
1806,,134.5,1821-5=100,169,1857=100,53,50,million pounds,60084,10799,thousand pounds,,,
1807,,131,1821-5=100,161,1857=100,54,45,million pounds,64843,12648,thousand pounds,,,
1808,,144.5,1821-5=100,173,1857=100,52,44,million pounds,68174,12607,thousand pounds,,,
1809,,155,1821-5=100,197,1857=100,74,61,million pounds,69170,14575,thousand pounds,,,
1810,,153,1821-5=100,207,1857=100,89,61,million pounds,73,14,million pounds,,,
1811,,145,1821-5=100,196,1857=100,51,40,million pounds,71,13,million pounds,,,
1812,,164,1821-5=100,227,1857=100,56,51,million pounds,70,14,million pounds,,,
1813,,169,1821-5=100,222,1857=100,,,,75,14,million pounds,,,
1814,,154,1821-5=100,193,1857=100,81,71,million pounds,78,15,million pounds,,,
1815,,130,1821-5=100,164,1851=100,,,,79,14,million pounds,,,
1816,,119,1821-5=100,181,1851=100,71,69,million pounds,69,12,million pounds,,,
1817,,132,1821-5=100,187,1851=100,50,55,million pounds,58,13,million pounds,,,
1818,,139,1821-5=100,179,1851=100,61,52,million pounds,60,14,million pounds,,,
1819,,128,1821-5=100,167,1851=100,81,59,million pounds,58,13,million pounds,,,
1820,,115,1821-5=100,151,1851=100,56,45,million pounds,60,12,million pounds,,,
1821,,100,1821-5=100,138,1851=100,54,46,million pounds,62,13,million pounds,,,
1822,,88,1821-5=100,126,1851=100,46,47,million pounds,60,13,million pounds,,,
1823,,98,1821-5=100,134,1851=100,45,45,million pounds,59,14,million pounds,,,
1824,,102,1821-5=100,144,1851=100,52,42,million pounds,60,14,million pounds,,,
1825,,113,1821-5=100,151,1851=100,51,46,million pounds,58,19,million pounds,,,
1826,,100,1821-5=100,136,1851=100,50,39,million pounds,55,19,million pounds,,,
1827,,99,1821-5=100,132,1851=100,59,44,million pounds,55,20,million pounds,,,
1828,,96,1821-5=100,135,1851=100,57,44,million pounds,57,19,million pounds,,,
1829,,96,1821-5=100,139,1851=100,54,43,million pounds,55,19,million pounds,,,
1830,,94.5,1821-5=100,135,1851=100,56,44,million pounds,54,19,million pounds,,,
1831,,95,1821-5=100,137,1851=100,62,44,million pounds,51,18,million pounds,,,
1832,,91.5,1821-5=100,130,1851=100,53,44,million pounds,51,19,million pounds,,,
1833,,89,1821-5=100,122,1851=100,59,47,million pounds,50,18,million pounds,,,
1834,,86.5,1821-5=100,116,1851=100,65,50,million pounds,50,20,million pounds,,,
1835,,84.5,1821-5=100,109,1851=100,68,56,million pounds,50,22,million pounds,,,
1836,,95,1821-5=100,126,1851=100,84,62,million pounds,53,23,million pounds,,,
1837,,94,1821-5=100,129,1851=100,70,51,million pounds,50,22,million pounds,,,
1838,,98,1821-5=100,139,1851=100,80,59,million pounds,51,22,million pounds,,,
1839,,104,1821-5=100,144,1851=100,91,63,million pounds,52,23,million pounds,,,
1840,,102.5,1821-5=100,140,1851=100,91,61,million pounds,52,23,million pounds,,,
1841,,98,1821-5=100,135,1851=100,84,62,million pounds,52,23,million pounds,,,
1842,,89,1821-5=100,126,1851=100,76,55,million pounds,51,23,million pounds,,,
1843,,80,1821-5=100,113,1851=100,71,60,million pounds,57,23,million pounds,,,
1844,,81,1821-5=100,118,1851=100,79,67,million pounds,58,24,million pounds,,,
1845,,83,1821-5=100,115,1851=100,88,69,million pounds,57,22,million pounds,,,
1846,,86,1821-5=100,121,1851=100,87,67,million pounds,58,22,million pounds,,,
1847,,97,1821-5=100,141,1851=100,112,71,million pounds,56,22,million pounds,,,
1848,,82,1821-5=100,115,1851=100,88,61,million pounds,58,23,million pounds,,,
1849,,74,1821-5=100,105,1851=100,101,76,million pounds,57,22,million pounds,,,
1850,,73.5,1821-5=100,102,1851=100,103,83,million pounds,57,22,million pounds,534,GDP,million pounds
1851,,91,1913=100,100,1851=100,110,87,million pounds,56,22,million pounds,565,GDP,million pounds
1852,,92,1913=100,102,1851=100,110,91,million pounds,57,22,million pounds,572,GDP,million pounds
1853,,112,1913=100,115,1851=100,149,116,million pounds,59,23,million pounds,646,GDP,million pounds
1854,,120,1913=100,122,1851=100,152,116,million pounds,62,22,million pounds,686,GDP,million pounds
1855,3.7,119,1913=100,121,1851=100,144,117,million pounds,70,23,million pounds,707,GDP,million pounds
1856,3.2,119,1913=100,121,1851=100,173,139,million pounds,72,24,million pounds,734,GDP,million pounds
1857,4.2,124,1913=100,124,1851=100,188,146,million pounds,67,23,million pounds,741,GDP,million pounds
1858,7.3,107,1913=100,113,1851=100,165,140,million pounds,64,24,million pounds,705,GDP,million pounds
1859,2.6,111,1913=100,115,1851=100,179,155,million pounds,70,24,million pounds,765,GDP,million pounds
1860,1.8,116,1913=100,120,1851=100,211,165,million pounds,70,23,million pounds,761,GDP,million pounds
1861,3.7,115,1913=100,119,1851=100,217,160,million pounds,69,24,million pounds,820,GDP,million pounds
1862,6.0,119,1913=100,120,1851=100,225,166,million pounds,69,24,million pounds,828,GDP,million pounds
1863,4.7,121,1913=100,122,1851=100,249,197,million pounds,68,23,million pounds,992,GDP,million pounds
1864,1.9,124,1913=100,122,1851=100,275,212,million pounds,69,23,million pounds,935,GDP,million pounds
1865,1.8,119,1913=100,120,1851=100,271,219,million pounds,66,21,million pounds,975,GDP,million pounds
1866,2.6,120,1913=100,121,1851=100,295,239,million pounds,68,22,million pounds,1019,GDP,million pounds
1867,6.3,118,1913=100,121,1851=100,275,226,million pounds,68,23,million pounds,1009,GDP,million pounds
1868,6.7,116,1913=100,120,1851=100,295,228,million pounds,71,22,million pounds,957,GDP,million pounds
1869,5.9,115,1913=100,118,1851=100,295,237,million pounds,74,22,million pounds,1015,GDP,million pounds
1870,3.7,113,1913=100,117,1851=100,303,244,million pounds,68,20,million pounds,1079,GDP,million pounds
1871,1.6,116,1913=100,120,1851=100,331,284,million pounds,73,20,million pounds,1133,GDP,million pounds
1872,0.9,125,1913=100,120,1851=100,355,314,million pounds,75,21,million pounds,1194,GDP,million pounds
1873,1.1,130,1913=100,122,1851=100,371,311,million pounds,75,20,million pounds,1262,GDP,million pounds
1874,1.6,126,1913=100,115,1851=100,370,298,million pounds,74,19,million pounds,1312,GDP,million pounds
1875,2.2,121,1913=100,111,1851=100,374,281,million pounds,75,20,million pounds,1236,GDP,million pounds
1876,3.4,118,1913=100,110,1851=100,375,257,million pounds,77,20,million pounds,1201,GDP,million pounds
1877,4.4,121,1913=100,110,1851=100,394,252,million pounds,78,20,million pounds,1157,GDP,million pounds
1878,6.2,113,1913=100,104,1851=100,369,246,million pounds,81,20,million pounds,1226,GDP,million pounds
1879,10.7,107,1913=100,101,1851=100,363,249,million pounds,73,19,million pounds,1078,GDP,million pounds
1880,5.2,111,1913=100,105,1851=100,411,286,million pounds,82,19,million pounds,1297,GDP,million pounds
1881,3.5,109,1913=100,103,1851=100,397,297,million pounds,84,19,million pounds,1222,GDP,million pounds
1882,2.3,110,1913=100,102,1851=100,413,306,million pounds,87,20,million pounds,1244,GDP,million pounds
