year,deflator,nGDP,rGDP
1270,0.1234735,5.417683,4387.731
1271,0.1345306,5.841505,4342.138
1272,0.1343281,6.051643,4505.123
1273,0.1269407,5.394222,4249.403
1274,0.1350789,5.718709,4233.606
1275,0.137839,6.670306,4839.202
1276,0.1270587,5.411029,4258.683
1277,0.1408116,6.403431,4547.516
1278,0.130066,6.132361,4714.807
1279,0.12349,4.832609,3913.361
1280,0.1311076,5.212342,3975.622
1281,0.1234879,5.220758,4227.75
1282,0.1359648,5.579802,4103.858
1283,0.1360515,5.311882,3904.318
1284,0.132231,5.342894,4040.577
1285,0.1138013,4.659358,4094.292
1286,0.122096,4.931682,4039.185
1287,0.1191491,5.271724,4424.476
1288,0.1052802,4.519245,4292.588
1289,0.1119218,4.436169,3963.632
1290,0.1153871,4.641708,4022.726
1291,0.1294795,5.218636,4030.472
1292,0.1269988,5.39064,4244.637
1293,0.1250158,5.431489,4344.643
1294,0.1398354,6.029422,4311.8
1295,0.1454694,6.717038,4617.491
1296,0.1437338,6.901952,4801.899
1297,0.1195351,5.49194,4594.416
1298,0.1365725,6.599793,4832.446
1299,0.1439325,6.698203,4653.71
1300,0.144237,6.666008,4621.564
1301,0.1380964,6.426898,4653.922
1302,0.1369584,6.538471,4774.056
1303,0.1311707,6.521614,4971.852
1304,0.1327514,5.970326,4497.372
1305,0.1422547,6.574848,4621.885
1306,0.141017,6.329261,4488.296
1307,0.1394703,6.561701,4704.731
1308,0.1442614,6.866665,4759.876
1309,0.1598249,7.79486,4877.126
1310,0.1658463,7.980628,4812.063
1311,0.1632063,8.129613,4981.189
1312,0.1443827,7.001242,4849.087
1313,0.145752,7.192863,4935.0
1314,0.1541047,7.60676,4936.099
1315,0.162137,7.190773,4434.999
1316,0.2280599,9.546954,4186.162
1317,0.2192095,9.598872,4378.858
1318,0.1654766,7.99451,4831.204
1319,0.1381381,6.701766,4851.498
1320,0.1527195,7.165513,4691.944
1321,0.1567792,6.220286,3967.545
1322,0.1953843,8.156897,4174.795
1323,0.1720588,7.450975,4330.483
1324,0.1576799,6.220797,3945.206
1325,0.1790906,7.646057,4269.38
1326,0.1600252,6.96213,4350.647
1327,0.1280395,5.508439,4302.14
1328,0.135922,5.464563,4020.368
1329,0.1440106,6.127714,4255.042
1330,0.1509205,6.292582,4169.468
1331,0.1638355,6.550488,3998.211
1332,0.1652169,6.995222,4233.963
1333,0.1377658,6.044251,4387.338
1334,0.1302975,5.561821,4268.556
1335,0.130411,5.366208,4114.844
1336,0.1361949,5.905329,4335.941
1337,0.1257385,6.079247,4834.833
1338,0.1239781,6.147747,4958.736
1339,0.1139238,4.639131,4072.134
1340,0.1410596,6.474806,4590.122
1341,0.1313072,6.127019,4666.17
1342,0.1268956,6.235984,4914.264
1343,0.1245261,5.985558,4806.67
1344,0.1377717,7.114656,5164.093
1345,0.1299214,6.286593,4838.766
1346,0.130375,6.031005,4625.891
1347,0.1443602,6.981671,4836.286
1348,0.1446667,7.218419,4989.688
1349,0.1221354,4.664135,3818.822
1350,0.1472456,5.217271,3543.243
1351,0.1719607,5.734629,3334.848
1352,0.185819,6.414099,3451.8
1353,0.163454,5.650247,3456.782
1354,0.1604276,5.30332,3305.74
1355,0.1572199,5.348225,3401.749
1356,0.1655003,5.544726,3350.282
1357,0.1739252,5.928317,3408.543
1358,0.1684055,5.761062,3420.947
1359,0.1666367,5.753799,3452.9
1360,0.1701904,5.828176,3424.503
1361,0.1738002,5.734184,3299.297
1362,0.1689679,5.420196,3207.826
1363,0.1814442,5.642237,3109.627
1364,0.1860512,6.417625,3449.385
1365,0.178081,5.860129,3290.709
1366,0.1687536,5.712104,3384.879
1367,0.1778511,5.640806,3171.646
1368,0.1746172,5.49171,3145.0
1369,0.1813569,5.317727,2932.189
1370,0.2494512,8.183709,3280.685
1371,0.1840797,5.834582,3169.596
1372,0.1762325,5.044549,2862.44
1373,0.1883882,5.8299,3094.62
1374,0.1668114,4.740489,2841.825
1375,0.1847572,5.056102,2736.62
1376,0.1847964,5.835935,3158.035
1377,0.1651388,5.360639,3246.142
1378,0.153579,4.893786,3186.495
1379,0.1610299,4.674113,2902.637
1380,0.1593529,4.797772,3010.785
1381,0.1614023,4.947458,3065.296
1382,0.1556587,4.898416,3146.896
1383,0.1548194,4.621286,2984.953
1384,0.1636875,5.485624,3351.279
1385,0.1556706,4.71939,3031.652
1386,0.1525408,5.132813,3364.88
1387,0.1443692,4.858856,3365.577
1388,0.1332402,4.116661,3089.654
1389,0.1345837,4.273096,3175.046
1390,0.1577744,4.663276,2955.66
